Model,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC
LogisticRegression,0.9998033557192642,0.9973297730307076,1.0,0.9944598337950139,0.9972222222222222,0.9999571636633635
XGBoost,0.9998167331387275,0.9973297730307076,0.9944903581267218,1.0,0.9972375690607734,0.9999500242739241
RandomForest,0.9990206289908974,0.9839786381842457,0.9833795013850416,0.9833795013850416,0.9833795013850416,0.9990504612045578
DecisionTree,0.9913362267433579,0.9906542056074766,0.9971910112359551,0.9833795013850416,0.9902370990237099,0.9943777308164605
